id;created_by;area;total_score;created_at
305;118;2;85.50;2023-03-06
306;118;2;93.00;2023-03-06
307;118;2;93.00;2023-03-06
308;118;2;93.00;2023-03-06
309;169;2;100.00;2023-03-06
310;166;2;82.00;2023-03-07
311;166;2;77.50;2023-03-08
312;166;2;82.00;2023-03-09
313;166;2;91.00;2023-03-10
314;169;2;100.00;2023-03-10
315;169;2;100.00;2023-03-10
316;169;2;100.00;2023-03-10
317;169;2;100.00;2023-03-10
318;169;2;100.00;2023-03-10
319;169;2;100.00;2023-03-10
320;91;2;93.00;2023-03-09
321;166;2;85.00;2023-03-10
322;169;2;100.00;2023-03-11
323;5;2;86.50;2023-03-11
324;91;2;95.50;2023-03-11
325;169;2;100.00;2023-03-12
326;169;2;100.00;2023-03-12
327;166;2;82.00;2023-03-12
328;166;2;88.00;2023-03-13
329;5;2;92.50;2023-03-12
330;169;2;100.00;2023-03-13
331;169;2;100.00;2023-03-13
332;91;2;97.00;2023-03-13
333;118;2;93.00;2023-03-07
334;118;2;93.00;2023-03-07
335;118;2;97.00;2023-03-07
336;118;2;97.00;2023-03-08
337;118;2;100.00;2023-03-08
338;118;2;93.00;2023-03-09
339;118;2;97.00;2023-03-09
340;118;2;93.00;2023-03-10
341;118;2;97.00;2023-03-10
342;118;2;97.00;2023-03-11
343;118;2;93.00;2023-03-11
344;118;2;97.00;2023-03-12
345;118;2;97.00;2023-03-12
346;118;2;97.00;2023-03-12
347;118;2;97.00;2023-03-12
348;169;2;100.00;2023-03-14
349;169;2;100.00;2023-03-14
350;166;2;88.00;2023-03-14
351;132;2;91.00;2023-03-14
352;169;2;100.00;2023-03-15
353;169;2;100.00;2023-03-15
354;166;2;94.00;2023-03-15
355;132;2;77.50;2023-03-16
356;166;2;67.75;2023-03-16
357;169;2;100.00;2023-03-16
358;169;2;100.00;2023-03-16
359;91;2;94.00;2023-03-17
360;169;2;100.00;2023-03-17
361;166;2;81.25;2023-03-17
362;132;2;83.50;2023-03-17
363;166;2;83.50;2023-03-18
364;169;2;100.00;2023-03-18
365;169;2;100.00;2023-03-19
366;166;2;71.50;2023-03-19
367;132;2;100.00;2023-03-18
368;56;2;91.00;2023-03-19
369;169;2;100.00;2023-03-19
370;169;2;100.00;2023-03-19
371;169;2;100.00;2023-03-19
372;169;2;100.00;2023-03-19
373;166;2;88.00;2023-03-20
374;132;2;89.50;2023-03-19
375;169;2;100.00;2023-03-20
376;169;2;100.00;2023-03-20
377;169;2;100.00;2023-03-20
378;168;2;85.00;2023-03-20
379;166;2;88.00;2023-03-21
380;132;2;100.00;2023-03-20
381;168;2;91.00;2023-03-21
382;166;2;71.50;2023-03-23
383;168;2;91.00;2023-03-23
384;132;2;94.00;2023-03-23
385;166;2;76.00;2023-03-24
386;169;2;100.00;2023-03-24
387;169;2;94.00;2023-03-24
388;168;2;79.00;2023-03-24
389;118;2;97.00;2023-03-18
390;118;2;97.00;2023-03-18
391;118;2;97.00;2023-03-18
392;118;2;97.00;2023-03-19
393;118;2;97.00;2023-03-19
394;118;2;97.00;2023-03-19
395;118;2;97.00;2023-03-19
396;118;2;97.00;2023-03-20
397;118;2;97.00;2023-03-20
398;118;2;97.00;2023-03-20
399;118;2;97.00;2023-03-20
400;169;2;100.00;2023-03-26
401;169;2;100.00;2023-03-26
402;169;2;100.00;2023-03-26
403;132;2;89.50;2023-03-25
404;168;2;91.00;2023-03-26
405;166;2;71.50;2023-03-26
406;169;2;90.00;2023-03-27
407;132;2;71.50;2023-03-27
408;166;2;71.50;2023-03-27
409;96;2;100.00;2023-03-20
410;96;2;100.00;2023-03-20
411;170;2;97.00;2023-03-20
412;170;2;77.50;2023-03-20
413;166;2;82.00;2023-03-28
414;132;2;86.50;2023-03-28
415;169;2;88.00;2023-03-28
416;169;2;88.00;2023-03-28
417;169;2;100.00;2023-03-29
418;169;2;100.00;2023-03-29
419;169;2;100.00;2023-03-29
420;132;2;76.00;2023-03-29
421;166;2;82.00;2023-03-29
422;166;2;82.00;2023-03-29
423;169;2;100.00;2023-04-01
424;169;2;100.00;2023-04-01
425;169;2;94.00;2023-04-01
426;118;2;97.00;2023-04-01
427;118;2;97.00;2023-04-01
428;118;2;93.00;2023-04-01
429;118;2;100.00;2023-04-02
430;118;2;97.00;2023-04-02
431;118;2;97.00;2023-04-02
432;118;2;97.00;2023-04-02
433;118;2;97.00;2023-04-02
434;169;2;100.00;2023-04-02
435;169;2;100.00;2023-04-02
436;169;2;94.00;2023-04-03
437;132;2;82.00;2023-04-02
438;166;2;85.00;2023-04-03
439;118;2;97.00;2023-04-03
440;118;2;97.00;2023-04-03
441;118;2;97.00;2023-04-03
442;118;2;97.00;2023-04-03
443;118;2;97.00;2023-04-03
444;169;2;100.00;2023-04-03
445;166;2;79.00;2023-04-04
446;169;2;100.00;2023-04-04
447;169;2;100.00;2023-04-04
448;169;2;100.00;2023-04-04
449;169;2;100.00;2023-04-04
450;132;2;89.50;2023-04-04
451;166;2;71.50;2023-04-05
452;169;2;100.00;2023-04-05
453;169;2;100.00;2023-04-05
454;169;2;100.00;2023-04-05
455;166;2;79.00;2023-04-06
456;118;2;97.00;2023-04-04
457;118;2;97.00;2023-04-04
458;118;2;95.50;2023-04-04
459;118;2;93.00;2023-04-04
460;118;2;100.00;2023-04-05
461;118;2;88.00;2023-04-05
462;118;2;97.00;2023-04-05
463;118;2;97.00;2023-04-06
464;118;2;97.00;2023-04-05
465;118;2;93.00;2023-04-06
466;118;2;93.00;2023-04-06
467;118;2;93.00;2023-04-06
468;118;2;91.50;2023-04-06
469;118;2;78.00;2023-04-06
470;132;2;91.00;2023-04-08
471;105;2;76.00;2023-04-09
472;118;2;93.00;2023-04-07
473;118;2;91.00;2023-04-07
474;118;2;93.00;2023-04-07
475;118;2;97.00;2023-04-08
476;118;2;97.00;2023-04-08
477;118;2;97.00;2023-04-08
478;118;2;97.00;2023-04-09
479;118;2;97.00;2023-04-09
480;118;2;96.00;2023-04-09
481;118;2;100.00;2023-04-09
482;118;2;100.00;2023-04-10
483;118;2;89.50;2023-04-10
484;118;2;97.00;2023-04-10
485;166;2;79.00;2023-04-11
486;94;2;100.00;2023-04-12
487;132;2;91.00;2023-04-12
488;166;2;79.00;2023-04-12
489;132;2;88.00;2023-04-13
490;166;2;79.00;2023-04-13
491;166;2;82.00;2023-04-15
492;132;2;89.50;2023-04-15
493;91;2;98.50;2023-04-16
494;118;2;97.00;2023-04-17
495;118;2;87.00;2023-04-17
496;118;2;93.00;2023-04-17
497;118;2;97.00;2023-04-17
498;91;2;100.00;2023-04-17
499;118;2;97.00;2023-04-17
500;132;2;83.50;2023-04-17
501;91;2;98.50;2023-04-18
502;132;2;88.00;2023-04-18
503;5;2;100.00;2023-04-22
504;91;2;98.50;2023-04-23
505;132;2;77.50;2023-04-22
506;5;2;85.00;2023-04-23
507;132;2;100.00;2023-04-24
508;91;2;100.00;2023-04-25
509;169;2;100.00;2023-04-26
510;132;2;94.00;2023-04-25
511;91;2;100.00;2023-04-26
512;132;2;100.00;2023-04-26
513;5;2;100.00;2023-04-28
514;5;2;94.00;2023-04-29
515;32;2;92.50;2023-04-30
516;72;2;91.75;2023-04-30
517;5;2;94.00;2023-04-30
518;132;2;89.50;2023-04-30
519;132;2;76.00;2023-05-02
520;5;2;100.00;2023-05-03
521;91;2;100.00;2023-05-03
522;91;2;98.50;2023-05-04
523;169;2;100.00;2023-05-05
524;169;2;100.00;2023-05-05
525;169;2;100.00;2023-05-05
526;169;2;100.00;2023-05-05
527;96;2;94.00;2023-04-29
528;96;2;90.00;2023-04-29
529;96;2;71.25;2023-04-29
530;96;2;94.00;2023-04-29
531;96;2;90.25;2023-04-29
532;132;2;97.00;2023-05-05
533;96;2;92.50;2023-04-30
534;96;2;98.50;2023-04-30
535;169;2;100.00;2023-05-07
536;169;2;100.00;2023-05-07
537;169;2;100.00;2023-05-07
538;169;2;100.00;2023-05-08
539;169;2;100.00;2023-05-08
540;169;2;100.00;2023-05-08
541;91;2;100.00;2023-05-09
542;169;2;100.00;2023-05-09
543;91;2;100.00;2023-05-12
544;93;2;82.00;2023-04-13
545;166;2;85.00;2023-05-13
546;91;2;100.00;2023-05-14
547;166;2;91.00;2023-05-19
548;118;2;93.00;2023-05-13
549;118;2;93.00;2023-05-13
550;118;2;97.00;2023-05-14
551;118;2;97.00;2023-05-14
552;166;2;79.00;2023-05-22
553;166;2;80.50;2023-05-23
554;166;2;85.00;2023-05-27
555;166;2;79.00;2023-05-28
556;166;2;88.00;2023-05-31
557;61;2;86.25;2023-06-12
558;61;2;84.00;2023-06-13
559;61;2;91.50;2023-06-14
560;61;2;94.50;2023-06-21
561;61;2;84.00;2023-06-22
562;61;2;78.00;2023-06-23
563;61;2;87.00;2023-06-24
564;61;2;88.00;2023-05-26
565;61;2;95.50;2023-06-27
566;61;2;94.00;2023-06-28
567;166;2;94.00;2023-06-30
568;132;2;85.00;2023-07-01
569;166;2;77.50;2023-07-02
570;166;2;85.00;2023-07-03
571;132;2;73.75;2023-07-02
572;166;2;85.00;2023-07-04
573;132;2;77.50;2023-07-03
574;132;2;90.25;2023-07-04
575;166;2;83.50;2023-07-05
576;132;2;85.00;2023-07-05
577;166;2;91.00;2023-07-06
578;61;2;87.00;2023-07-07
579;132;2;86.50;2023-07-07
580;132;2;91.00;2023-07-09
581;96;2;81.75;2023-06-30
582;96;2;90.00;2023-06-30
583;170;2;95.50;2023-06-30
584;170;2;95.50;2023-06-30
585;170;2;87.00;2023-06-30
586;132;2;91.00;2023-07-11
587;91;2;95.50;2023-07-14
588;118;2;84.00;2023-07-01
589;118;2;91.50;2023-07-01
590;118;2;97.00;2023-07-01
591;118;2;91.50;2023-07-02
592;118;2;97.00;2023-07-02
593;118;2;97.00;2023-07-03
594;118;2;97.00;2023-07-03
595;118;2;91.00;2023-07-05
596;118;2;97.00;2023-07-05
597;105;2;85.00;2023-07-30
598;105;2;95.50;2023-07-31
599;105;2;98.50;2023-08-02
600;105;2;92.50;2023-08-04
601;105;2;97.00;2023-08-05
602;105;2;83.50;2023-08-07
603;91;2;98.50;2023-08-07
604;91;2;98.50;2023-08-13
605;91;2;95.50;2023-08-14
606;61;2;92.50;2023-08-17
607;61;2;98.50;2023-08-16
608;91;2;98.50;2023-08-18
609;94;2;95.50;2023-09-04
610;61;2;88.00;2023-09-05
611;94;2;95.50;2023-09-12
612;79;2;90.00;2023-09-30
613;79;2;90.25;2023-09-30
614;79;2;68.50;2023-09-30
